iter	Passed	Remaining
0	0	39
1	0	36
2	1	35
3	1	35
4	1	35
5	2	35
6	2	34
7	2	34
8	3	33
9	3	33
10	4	32
11	4	32
12	4	32
13	5	31
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	29
20	7	28
21	8	28
22	8	28
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	15	22
41	16	22
42	16	22
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	14
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	8
77	30	8
78	30	8
79	31	7
80	31	7
81	31	7
82	32	6
83	32	6
84	33	5
85	33	5
86	33	5
87	34	4
88	34	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
