iter	Passed	Remaining
0	56	56339
1	56	28325
2	57	19006
3	57	14338
4	57	11533
5	58	9675
6	58	8352
7	59	7353
8	59	6585
9	60	5975
10	60	5473
11	61	5042
12	61	4685
13	62	4375
14	62	4105
15	62	3869
16	63	3669
17	63	3486
18	64	3318
19	64	3168
20	65	3032
21	65	2910
22	65	2802
23	66	2698
24	66	2603
25	67	2513
26	67	2432
27	67	2358
28	68	2288
29	68	2221
30	69	2157
31	69	2098
32	69	2043
33	70	1992
34	70	1944
35	71	1902
36	71	1858
37	71	1817
38	72	1777
39	72	1744
40	73	1713
41	73	1681
42	74	1650
43	74	1619
44	74	1589
45	75	1561
46	75	1535
47	76	1510
48	76	1486
49	77	1463
50	77	1440
51	77	1420
52	78	1400
53	78	1379
54	79	1371
55	80	1355
56	80	1337
57	81	1320
58	81	1303
59	82	1286
60	82	1269
61	82	1254
62	83	1239
63	83	1224
64	84	1209
65	84	1195
66	84	1181
67	85	1167
68	85	1154
69	85	1140
70	86	1127
71	86	1115
72	86	1103
73	87	1093
74	87	1082
75	88	1071
76	88	1061
77	88	1050
78	89	1042
79	89	1034
80	90	1024
81	90	1015
82	90	1003
83	91	995
84	91	987
85	92	979
86	92	971
87	92	963
88	93	955
89	93	948
90	94	940
91	94	934
92	94	926
93	95	918
94	95	911
95	96	907
96	96	900
97	97	894
98	97	888
99	97	881
100	98	874
101	98	868
102	98	861
103	99	856
104	99	850
105	100	844
106	100	838
107	100	832
108	101	827
109	101	821
110	102	816
111	102	812
112	102	806
113	103	801
114	103	797
115	103	792
116	104	787
117	104	782
118	105	777
119	105	773
120	105	768
121	106	763
122	106	760
123	107	756
124	107	751
125	107	747
126	108	743
127	108	740
128	109	737
129	109	735
130	110	732
131	110	728
132	111	725
133	111	722
134	112	718
135	112	714
136	112	710
137	113	708
138	113	704
139	114	701
140	114	698
141	114	694
142	115	691
143	115	688
144	116	685
145	116	682
146	117	679
147	117	676
148	117	673
149	118	670
150	118	667
151	119	664
152	119	661
153	119	658
154	120	655
155	120	652
156	120	649
157	121	646
158	121	643
159	122	641
160	122	637
161	122	635
162	123	633
163	123	630
164	124	627
165	124	625
166	124	622
167	125	620
168	125	617
169	126	615
170	126	612
171	126	609
172	127	608
